# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxHeapBytes,1703610584712000000,1703610644759000000,2147483648
JVM.usedHeapBytes,1703610584712000000,1703610644759000000,315015680
JVM.maxNativeBytes,1703610584712000000,1703610644759000000,-1
JVM.GC.collections,1703610584712000000,1703610644759000000,20
JVM.threadCount,1703610584712000000,1703610644759000000,110
JVM.totalCpuTimeMs,1703610584712000000,1703610644759000000,107790
OS.loadAverage,1703610584712000000,1703610644759000000,4.5068359375
JVM.GC.collectionTimesMs,1703610584712000000,1703610644759000000,640
JVM.usedNativeBytes,1703610584712000000,1703610644759000000,285086728
workspaceModel.updates.ms,1703610584712000000,1703610644759000000,141
workspaceModel.check.recursive.update.ms,1703610584712000000,1703610644759000000,2
workspaceModel.replace.project.model.ms,1703610584712000000,1703610644759000000,0
workspaceModel.initializing.ms,1703610584712000000,1703610644759000000,3
workspaceModel.loading.from.cache.ms,1703610584712000000,1703610644759000000,365
workspaceModel.init.bridges.ms,1703610584712000000,1703610644759000000,3
workspaceModel.updates.count,1703610584712000000,1703610644759000000,3
workspaceModel.to.snapshot.ms,1703610584712000000,1703610644759000000,5
workspaceModel.pre.handlers.ms,1703610584712000000,1703610644759000000,1
workspaceModel.update.unloaded.entities.ms,1703610584712000000,1703610644759000000,0
workspaceModel.collect.changes.ms,1703610584712000000,1703610644759000000,0
workspaceModel.updates.precise.ms,1703610584712000000,1703610644759000000,67
workspaceModel.loading.total.ms,1703610584712000000,1703610644759000000,399
DirectByteBufferAllocator.disposed,1703610584712000000,1703610644759000000,0
FilePageCache.totalPageDisposalsUs,1703610584712000000,1703610644759000000,1122
FilePageCache.uncachedFileAccess,1703610584712000000,1703610644759000000,173
StreamlinedBlobStorage.recordsAllocated,1703610584712000000,1703610644759000000,51260
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1703610584712000000,1703610644759000000,164904960
FilePageCache.pageHits,1703610584712000000,1703610644759000000,5500
FilePageCache.capacityInBytes,1703610584712000000,1703610644759000000,524288000
FilePageCache.maxCacheSizeInBytes,1703610584712000000,1703610644759000000,164904960
StreamlinedBlobStorage.recordsRelocated,1703610584712000000,1703610644759000000,0
DirectByteBufferAllocator.hits,1703610584712000000,1703610644759000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1703610584712000000,1703610644759000000,1665735
StreamlinedBlobStorage.recordsDeleted,1703610584712000000,1703610644759000000,2408
FilePageCache.totalPageLoadsUs,1703610584712000000,1703610644759000000,1342634
FilePageCache.pageLoads,1703610584712000000,1703610644759000000,185
StorageLockContext.competingThreads.max,1703610584712000000,1703610644759000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1703610584712000000,1703610644759000000,0
FilePageCache.maxRegisteredFiles,1703610584712000000,1703610644759000000,254
DirectByteBufferAllocator.misses,1703610584712000000,1703610644759000000,182
StorageLockContext.competingThreads.avg,1703610584712000000,1703610644759000000,0.0
FilePageCache.pageFastCacheHits,1703610584712000000,1703610644759000000,113665
StorageLockContext.competingThreads.90P,1703610584712000000,1703610644759000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1703610584712000000,1703610644759000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1703610584712000000,1703610644759000000,3453393
FilePageCache.disposedBuffers,1703610584712000000,1703610644759000000,3
DirectByteBufferAllocator.reclaimed,1703610584712000000,1703610644759000000,3
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1703610584712000000,1703610644759000000,2
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1703610584712000000,1703610644759000000,1
workspaceModel.moduleBridge.before.changed.ms,1703610584712000000,1703610644759000000,0
jps.artifact.entities.serializer.save.entities.ms,1703610584712000000,1703610644759000000,0
workspaceModel.orphan.listener.update.ms,1703610584712000000,1703610644759000000,4
jps.apply.loaded.storage.ms,1703610584712000000,1703610644759000000,359
jps.facet.change.listener.init.bridge.ms,1703610584712000000,1703610644759000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1703610584712000000,1703610644759000000,597
