# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.updates.ms,1704526697958000000,1704526757972000000,242
workspaceModel.collect.changes.ms,1704526697958000000,1704526757972000000,0
workspaceModel.initializing.ms,1704526697958000000,1704526757972000000,4
workspaceModel.check.recursive.update.ms,1704526697958000000,1704526757972000000,6
workspaceModel.updates.precise.ms,1704526697958000000,1704526757972000000,71
workspaceModel.updates.count,1704526697958000000,1704526757972000000,9
workspaceModel.to.snapshot.ms,1704526697958000000,1704526757972000000,2
workspaceModel.replace.project.model.ms,1704526697958000000,1704526757972000000,0
workspaceModel.loading.total.ms,1704526697958000000,1704526757972000000,502
workspaceModel.update.unloaded.entities.ms,1704526697958000000,1704526757972000000,0
workspaceModel.pre.handlers.ms,1704526697958000000,1704526757972000000,3
workspaceModel.loading.from.cache.ms,1704526697958000000,1704526757972000000,473
workspaceModel.init.bridges.ms,1704526697958000000,1704526757972000000,4
NonBlockingReadAction.failedExecutionsCount,1704526697958000000,1704526757972000000,6
FlushQueue.waitingTimeAvgNs,1704526697958000000,1704526757972000000,4.688555738149187E8
NonBlockingReadAction.finalizedExecutionsCount,1704526697958000000,1704526757972000000,123
AWTEventQueue.dispatchTimeAvgNs,1704526697958000000,1704526757972000000,7227662.092893117
NonBlockingReadAction.failedExecutionTimeUs,1704526697958000000,1704526757972000000,975131
AWTEventQueue.dispatchTimeTotalNS,1704526697958000000,1704526757972000000,25834755084
AWTEventQueue.dispatchTime90PNs,1704526697958000000,1704526757972000000,12976127
AWTEventQueue.eventsDispatched,1704526697958000000,1704526757972000000,3574
FlushQueue.executionTime90PNs,1704526697958000000,1704526757972000000,3047423
FlushQueue.queueSizeAvg,1704526697958000000,1704526757972000000,172.28407178911945
FlushQueue.executionTimeAvgNs,1704526697958000000,1704526757972000000,4537621.582164891
FlushQueue.waitingTime90PNs,1704526697958000000,1704526757972000000,1249902591
AWTEventQueue.dispatchTimeMaxNs,1704526697958000000,1704526757972000000,1384120319
FlushQueue.executionTimeMaxNs,1704526697958000000,1704526757972000000,3003121663
FlushQueue.queueSizeMax,1704526697958000000,1704526757972000000,903
FlushQueue.queueSize90P,1704526697958000000,1704526757972000000,707
FlushQueue.tasksExecuted,1704526697958000000,1704526757972000000,3566
FlushQueue.waitingTimeMaxNs,1704526697958000000,1704526757972000000,2181038079
NonBlockingReadAction.finalizedExecutionTimeUs,1704526697958000000,1704526757972000000,4036586
JVM.usedHeapBytes,1704526697958000000,1704526757972000000,589299712
OS.loadAverage,1704526697958000000,1704526757972000000,2.87646484375
JVM.threadCount,1704526697958000000,1704526757972000000,117
JVM.GC.collectionTimesMs,1704526697958000000,1704526757972000000,914
JVM.maxHeapBytes,1704526697958000000,1704526757972000000,2147483648
JVM.maxNativeBytes,1704526697958000000,1704526757972000000,-1
JVM.GC.collections,1704526697958000000,1704526757972000000,27
JVM.usedNativeBytes,1704526697958000000,1704526757972000000,321349952
JVM.totalCpuTimeMs,1704526697958000000,1704526757972000000,130050
Indexes.entries.lookups,1704526697958000000,1704526757972000000,35.0
IndexesFlusher.totalContentionQuotaSpent,1704526697958000000,1704526757972000000,0
VFSFlusher.totalFlushingTimeUs,1704526697958000000,1704526757972000000,61929
Indexes.allKeys.lookupDurationMaxMs,1704526697958000000,1704526757972000000,0.0
VFSFlusher.totalFlushes,1704526697958000000,1704526757972000000,17
Indexes.stubs.lookupDuration90PMs,1704526697958000000,1704526757972000000,0.0
IndexesFlusher.totalFlushes,1704526697958000000,1704526757972000000,108
Indexes.allKeys.lookupDurationAvgMs,1704526697958000000,1704526757972000000,0.0
Indexes.entries.lookupDurationAvgMs,1704526697958000000,1704526757972000000,14.028571428571428
VFSFlusher.totalContentionQuotaSpent,1704526697958000000,1704526757972000000,0
Indexes.entries.lookupDurationMaxMs,1704526697958000000,1704526757972000000,357.0
IndexesFlusher.totalFlushingTimeUs,1704526697958000000,1704526757972000000,708454
VFSFlusher.totalFlushesRetried,1704526697958000000,1704526757972000000,0
Indexes.stubs.lookupDurationAvgMs,1704526697958000000,1704526757972000000,0.0
Indexes.entries.lookupDuration90PMs,1704526697958000000,1704526757972000000,12.0
Indexes.allKeys.lookupDuration90PMs,1704526697958000000,1704526757972000000,0.0
Indexes.stubs.lookupDurationMaxMs,1704526697958000000,1704526757972000000,0.0
Indexes.stubs.lookups,1704526697958000000,1704526757972000000,0.0
Indexes.allKeys.lookups,1704526697958000000,1704526757972000000,0.0
IndexesFlusher.totalFlushesRetried,1704526697958000000,1704526757972000000,0
FileNameCache.queries,1704526697958000000,1704526757972000000,1328593
FileNameCache.totalMisses,1704526697958000000,1704526757972000000,6983
FileNameCache.fastMisses,1704526697958000000,1704526757972000000,77710
FilePageCache.maxRegisteredFiles,1704526697958000000,1704526757972000000,254
FilePageCache.maxCacheSizeInBytes,1704526697958000000,1704526757972000000,165945344
StorageLockContext.competingThreads.avg,1704526697958000000,1704526757972000000,0.017241379310344827
FilePageCache.pageHits,1704526697958000000,1704526757972000000,308
StreamlinedBlobStorage.recordsDeleted,1704526697958000000,1704526757972000000,2420
StorageLockContext.competingThreads.max,1704526697958000000,1704526757972000000,1
StorageLockContext.competingThreads.90P,1704526697958000000,1704526757972000000,0
DirectByteBufferAllocator.disposed,1704526697958000000,1704526757972000000,0
DirectByteBufferAllocator.reclaimed,1704526697958000000,1704526757972000000,30
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1704526697958000000,1704526757972000000,1668733
DirectByteBufferAllocator.misses,1704526697958000000,1704526757972000000,198
FilePageCache.totalPageDisposalsUs,1704526697958000000,1704526757972000000,4994
StreamlinedBlobStorage.recordsAllocated,1704526697958000000,1704526757972000000,51443
FilePageCache.disposedBuffers,1704526697958000000,1704526757972000000,30
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1704526697958000000,1704526757972000000,170237952
FilePageCache.pageLoads,1704526697958000000,1704526757972000000,227
FilePageCache.pageFastCacheHits,1704526697958000000,1704526757972000000,75618
FilePageCache.pageLoadsAboveSizeThreshold,1704526697958000000,1704526757972000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1704526697958000000,1704526757972000000,3465515
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1704526697958000000,1704526757972000000,0
FilePageCache.totalPageLoadsUs,1704526697958000000,1704526757972000000,1289868
FilePageCache.capacityInBytes,1704526697958000000,1704526757972000000,524288000
DirectByteBufferAllocator.hits,1704526697958000000,1704526757972000000,30
StreamlinedBlobStorage.recordsRelocated,1704526697958000000,1704526757972000000,0
FilePageCache.uncachedFileAccess,1704526697958000000,1704526757972000000,162
jps.global.handle.changed.events.ms,1704526697958000000,1704526757972000000,0
jps.global.initialize.library.bridges.after.loading.ms,1704526697958000000,1704526757972000000,0
jps.artifact.entities.serializer.load.entities.ms,1704526697958000000,1704526757972000000,0
jps.project.serializers.save.ms,1704526697958000000,1704526757972000000,3
workspaceModel.save.cache.to.file.ms,1704526697958000000,1704526757972000000,304
jps.facet.change.listener.process.change.events.ms,1704526697958000000,1704526757972000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1704526697958000000,1704526757972000000,114
workspaceModel.mutableEntityStorage.resolve.ms,1704526697958000000,1704526757972000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1704526697958000000,1704526757972000000,35
jps.facet.change.listener.before.change.events.ms,1704526697958000000,1704526757972000000,0
jps.app.storage.content.reader.load.component.ms,1704526697958000000,1704526757972000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1704526697958000000,1704526757972000000,0
jps.global.initialize.library.bridges.ms,1704526697958000000,1704526757972000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1704526697958000000,1704526757972000000,34
jps.load.initial.state.ms,1704526697958000000,1704526757972000000,12
workspaceModel.mutableEntityStorage.collect.changes.ms,1704526697958000000,1704526757972000000,3
jps.save.changed.project.entities.ms,1704526697958000000,1704526757972000000,3
workspaceModel.mutableEntityStorage.to.snapshot.ms,1704526697958000000,1704526757972000000,3
jps.module.iml.entities.serializer.load.entities.ms,1704526697958000000,1704526757972000000,51
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1704526697958000000,1704526757972000000,0
jps.library.entities.serializer.load.entities.ms,1704526697958000000,1704526757972000000,0
jps.apply.loaded.storage.ms,1704526697958000000,1704526757972000000,107
