# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.GC.collectionTimesMs,1704859493592000000,1704859553619000000,483
JVM.GC.collections,1704859493592000000,1704859553619000000,21
OS.loadAverage,1704859493592000000,1704859553619000000,1.8671875
JVM.threadCount,1704859493592000000,1704859553619000000,113
JVM.totalCpuTimeMs,1704859493592000000,1704859553619000000,95600
JVM.usedHeapBytes,1704859493592000000,1704859553619000000,365428736
JVM.maxNativeBytes,1704859493592000000,1704859553619000000,-1
JVM.maxHeapBytes,1704859493592000000,1704859553619000000,2147483648
JVM.usedNativeBytes,1704859493592000000,1704859553619000000,286618664
DirectByteBufferAllocator.disposed,1704859493592000000,1704859553619000000,0
FilePageCache.pageHits,1704859493592000000,1704859553619000000,4
StorageLockContext.competingThreads.max,1704859493592000000,1704859553619000000,1
FilePageCache.uncachedFileAccess,1704859493592000000,1704859553619000000,80
StorageLockContext.competingThreads.avg,1704859493592000000,1704859553619000000,0.008620689655172414
FilePageCache.totalPageLoadsUs,1704859493592000000,1704859553619000000,1131910
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1704859493592000000,1704859553619000000,3977809
FilePageCache.pageFastCacheHits,1704859493592000000,1704859553619000000,60453
FilePageCache.maxRegisteredFiles,1704859493592000000,1704859553619000000,254
DirectByteBufferAllocator.reclaimed,1704859493592000000,1704859553619000000,3
FilePageCache.disposedBuffers,1704859493592000000,1704859553619000000,3
StreamlinedBlobStorage.recordsAllocated,1704859493592000000,1704859553619000000,58879
StreamlinedBlobStorage.recordsRelocated,1704859493592000000,1704859553619000000,0
StorageLockContext.competingThreads.90P,1704859493592000000,1704859553619000000,0
FilePageCache.capacityInBytes,1704859493592000000,1704859553619000000,524288000
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1704859493592000000,1704859553619000000,135372800
FilePageCache.maxCacheSizeInBytes,1704859493592000000,1704859553619000000,135372800
FilePageCache.totalPageDisposalsUs,1704859493592000000,1704859553619000000,832
DirectByteBufferAllocator.misses,1704859493592000000,1704859553619000000,133
FilePageCache.pageLoadsAboveSizeThreshold,1704859493592000000,1704859553619000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1704859493592000000,1704859553619000000,0
FilePageCache.pageLoads,1704859493592000000,1704859553619000000,136
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1704859493592000000,1704859553619000000,1840332
DirectByteBufferAllocator.hits,1704859493592000000,1704859553619000000,3
StreamlinedBlobStorage.recordsDeleted,1704859493592000000,1704859553619000000,2567
NonBlockingReadAction.finalizedExecutionsCount,1704859493592000000,1704859553619000000,42
NonBlockingReadAction.failedExecutionTimeUs,1704859493592000000,1704859553619000000,0
AWTEventQueue.dispatchTimeMaxNs,1704859493592000000,1704859553619000000,1266679807
NonBlockingReadAction.failedExecutionsCount,1704859493592000000,1704859553619000000,0
FlushQueue.queueSizeMax,1704859493592000000,1704859553619000000,79
FlushQueue.queueSizeAvg,1704859493592000000,1704859553619000000,18.677312042581505
FlushQueue.waitingTimeAvgNs,1704859493592000000,1704859553619000000,2.6225617746906188E8
FlushQueue.queueSize90P,1704859493592000000,1704859553619000000,61
NonBlockingReadAction.finalizedExecutionTimeUs,1704859493592000000,1704859553619000000,1625864
AWTEventQueue.dispatchTime90PNs,1704859493592000000,1704859553619000000,4489215
FlushQueue.waitingTimeMaxNs,1704859493592000000,1704859553619000000,1400897535
AWTEventQueue.dispatchTimeAvgNs,1704859493592000000,1704859553619000000,4002555.405782652
FlushQueue.executionTimeAvgNs,1704859493592000000,1704859553619000000,5502619.007318696
AWTEventQueue.eventsDispatched,1704859493592000000,1704859553619000000,4012
FlushQueue.executionTimeMaxNs,1704859493592000000,1704859553619000000,1266679807
FlushQueue.waitingTime90PNs,1704859493592000000,1704859553619000000,914358271
AWTEventQueue.dispatchTimeTotalNS,1704859493592000000,1704859553619000000,16063974054
FlushQueue.executionTime90PNs,1704859493592000000,1704859553619000000,5439487
FlushQueue.tasksExecuted,1704859493592000000,1704859553619000000,1503
workspaceModel.updates.ms,1704859493592000000,1704859553619000000,143
workspaceModel.loading.from.cache.ms,1704859493592000000,1704859553619000000,383
workspaceModel.to.snapshot.ms,1704859493592000000,1704859553619000000,2
workspaceModel.loading.total.ms,1704859493592000000,1704859553619000000,406
workspaceModel.update.unloaded.entities.ms,1704859493592000000,1704859553619000000,0
workspaceModel.pre.handlers.ms,1704859493592000000,1704859553619000000,1
workspaceModel.updates.precise.ms,1704859493592000000,1704859553619000000,63
workspaceModel.updates.count,1704859493592000000,1704859553619000000,3
workspaceModel.init.bridges.ms,1704859493592000000,1704859553619000000,3
workspaceModel.collect.changes.ms,1704859493592000000,1704859553619000000,0
workspaceModel.replace.project.model.ms,1704859493592000000,1704859553619000000,0
workspaceModel.check.recursive.update.ms,1704859493592000000,1704859553619000000,0
workspaceModel.initializing.ms,1704859493592000000,1704859553619000000,3
Indexes.entries.lookupDuration90PMs,1704859493592000000,1704859553619000000,16.0
VFSFlusher.totalContentionQuotaSpent,1704859493592000000,1704859553619000000,0
IndexesFlusher.totalFlushingTimeUs,1704859493592000000,1704859553619000000,521115
Indexes.stubs.lookupDurationMaxMs,1704859493592000000,1704859553619000000,13.0
Indexes.allKeys.lookupDurationMaxMs,1704859493592000000,1704859553619000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1704859493592000000,1704859553619000000,0.0
IndexesFlusher.totalFlushesRetried,1704859493592000000,1704859553619000000,0
Indexes.stubs.lookupDurationAvgMs,1704859493592000000,1704859553619000000,1.5833333333333333
Indexes.stubs.lookups,1704859493592000000,1704859553619000000,12.0
Indexes.allKeys.lookups,1704859493592000000,1704859553619000000,0.0
Indexes.stubs.lookupDuration90PMs,1704859493592000000,1704859553619000000,1.0
