# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.queueSize90P,1703179229352000000,1703179289393000000,40
FlushQueue.executionTimeMaxNs,1703179229352000000,1703179289393000000,1367343103
NonBlockingReadAction.finalizedExecutionTimeUs,1703179229352000000,1703179289393000000,40781045
FlushQueue.tasksExecuted,1703179229352000000,1703179289393000000,1610
NonBlockingReadAction.finalizedExecutionsCount,1703179229352000000,1703179289393000000,1239
NonBlockingReadAction.failedExecutionTimeUs,1703179229352000000,1703179289393000000,1906395
AWTEventQueue.dispatchTime90PNs,1703179229352000000,1703179289393000000,7307263
FlushQueue.waitingTimeMaxNs,1703179229352000000,1703179289393000000,3137339391
FlushQueue.executionTime90PNs,1703179229352000000,1703179289393000000,2949119
FlushQueue.waitingTimeAvgNs,1703179229352000000,1703179289393000000,2.5236156456149068E8
NonBlockingReadAction.failedExecutionsCount,1703179229352000000,1703179289393000000,5
AWTEventQueue.dispatchTimeAvgNs,1703179229352000000,1703179289393000000,5798723.450516987
FlushQueue.executionTimeAvgNs,1703179229352000000,1703179289393000000,4252013.003726708
AWTEventQueue.dispatchTimeTotalNS,1703179229352000000,1703179289393000000,15704115688
AWTEventQueue.dispatchTimeMaxNs,1703179229352000000,1703179289393000000,1367343103
AWTEventQueue.eventsDispatched,1703179229352000000,1703179289393000000,2708
FlushQueue.queueSizeMax,1703179229352000000,1703179289393000000,76
FlushQueue.queueSizeAvg,1703179229352000000,1703179289393000000,9.822981366459627
FlushQueue.waitingTime90PNs,1703179229352000000,1703179289393000000,788529151
JVM.totalCpuTimeMs,1703179229352000000,1703179289393000000,120150
JVM.GC.collections,1703179229352000000,1703179289393000000,30
JVM.GC.collectionTimesMs,1703179229352000000,1703179289393000000,736
JVM.usedHeapBytes,1703179229352000000,1703179289393000000,383975376
JVM.maxNativeBytes,1703179229352000000,1703179289393000000,-1
OS.loadAverage,1703179229352000000,1703179289393000000,4.21630859375
JVM.usedNativeBytes,1703179229352000000,1703179289393000000,290488544
JVM.threadCount,1703179229352000000,1703179289393000000,110
JVM.maxHeapBytes,1703179229352000000,1703179289393000000,2147483648
FilePageCache.pageLoads,1703179229352000000,1703179289393000000,193
FilePageCache.totalPageLoadsUs,1703179229352000000,1703179289393000000,1289700
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1703179229352000000,1703179289393000000,1666292
StreamlinedBlobStorage.recordsAllocated,1703179229352000000,1703179289393000000,50839
FilePageCache.pageHits,1703179229352000000,1703179289393000000,159
FilePageCache.uncachedFileAccess,1703179229352000000,1703179289393000000,94
DirectByteBufferAllocator.hits,1703179229352000000,1703179289393000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1703179229352000000,1703179289393000000,0
StreamlinedBlobStorage.recordsDeleted,1703179229352000000,1703179289393000000,2018
FilePageCache.maxCacheSizeInBytes,1703179229352000000,1703179289393000000,163930112
FilePageCache.maxRegisteredFiles,1703179229352000000,1703179289393000000,254
StorageLockContext.competingThreads.avg,1703179229352000000,1703179289393000000,0.008695652173913044
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1703179229352000000,1703179289393000000,3448103
StreamlinedBlobStorage.recordsRelocated,1703179229352000000,1703179289393000000,0
FilePageCache.totalPageDisposalsUs,1703179229352000000,1703179289393000000,6645
StorageLockContext.competingThreads.90P,1703179229352000000,1703179289393000000,0
DirectByteBufferAllocator.reclaimed,1703179229352000000,1703179289393000000,3
DirectByteBufferAllocator.misses,1703179229352000000,1703179289393000000,190
FilePageCache.disposedBuffers,1703179229352000000,1703179289393000000,3
StorageLockContext.competingThreads.max,1703179229352000000,1703179289393000000,1
DirectByteBufferAllocator.disposed,1703179229352000000,1703179289393000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1703179229352000000,1703179289393000000,163930112
FilePageCache.capacityInBytes,1703179229352000000,1703179289393000000,524288000
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1703179229352000000,1703179289393000000,0
FilePageCache.pageFastCacheHits,1703179229352000000,1703179289393000000,53950
jps.global.get.libraries.ms,1703179229352000000,1703179289393000000,1
jps.apply.loaded.storage.ms,1703179229352000000,1703179289393000000,285
jps.facet.change.listener.init.bridge.ms,1703179229352000000,1703179289393000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1703179229352000000,1703179289393000000,35
workspaceModel.global.updates.ms,1703179229352000000,1703179289393000000,0
workspaceModel.save.cache.to.file.ms,1703179229352000000,1703179289393000000,152
jps.save.global.entities.ms,1703179229352000000,1703179289393000000,3
jps.load.project.to.empty.storage.ms,1703179229352000000,1703179289393000000,146
workspaceModel.mutableEntityStorage.has.same.entities.ms,1703179229352000000,1703179289393000000,0
jps.library.entities.serializer.save.entities.ms,1703179229352000000,1703179289393000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1703179229352000000,1703179289393000000,1
jps.global.handle.before.change.events.ms,1703179229352000000,1703179289393000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1703179229352000000,1703179289393000000,462
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1703179229352000000,1703179289393000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1703179229352000000,1703179289393000000,0
jps.artifact.entities.serializer.load.entities.ms,1703179229352000000,1703179289393000000,0
jps.load.initial.state.ms,1703179229352000000,1703179289393000000,12
jps.facet.change.listener.before.change.events.ms,1703179229352000000,1703179289393000000,0
jps.library.entities.serializer.load.entities.ms,1703179229352000000,1703179289393000000,0
workspaceModel.global.updates.count,1703179229352000000,1703179289393000000,0
workspaceModel.load.cache.from.file.ms,1703179229352000000,1703179289393000000,436
workspaceModel.moduleManagerBridge.get.modules.ms,1703179229352000000,1703179289393000000,2
jps.app.storage.content.writer.save.component.ms,1703179229352000000,1703179289393000000,0
jps.reload.project.entities.ms,1703179229352000000,1703179289393000000,0
jps.artifact.entities.serializer.save.entities.ms,1703179229352000000,1703179289393000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1703179229352000000,1703179289393000000,0
jps.app.storage.content.reader.load.component.ms,1703179229352000000,1703179289393000000,1
jps.global.handle.changed.events.ms,1703179229352000000,1703179289393000000,0
jps.project.serializers.save.ms,1703179229352000000,1703179289393000000,2
workspaceModel.mutableEntityStorage.add.diff.ms,1703179229352000000,1703179289393000000,19
jps.save.changed.project.entities.ms,1703179229352000000,1703179289393000000,3
workspaceModel.mutableEntityStorage.to.snapshot.ms,1703179229352000000,1703179289393000000,3
workspaceModel.moduleManagerBridge.build.module.graph.ms,1703179229352000000,1703179289393000000,0
jps.project.serializers.load.ms,1703179229352000000,1703179289393000000,123
workspaceModel.mutableEntityStorage.modify.entity.ms,1703179229352000000,1703179289393000000,20
workspaceModel.global.apply.state.to.project.ms,1703179229352000000,1703179289393000000,62
workspaceModel.mutableEntityStorage.resolve.ms,1703179229352000000,1703179289393000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1703179229352000000,1703179289393000000,0
jps.storage.jps.conf.reader.load.component.ms,1703179229352000000,1703179289393000000,16
workspaceModel.mutableEntityStorage.remove.entity.ms,1703179229352000000,1703179289393000000,0
workspaceModel.sync.entities.ms,1703179229352000000,1703179289393000000,0
