# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.hits,1703092834651000000,1703092894675000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1703092834651000000,1703092894675000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1703092834651000000,1703092894675000000,0
DirectByteBufferAllocator.reclaimed,1703092834651000000,1703092894675000000,3
StorageLockContext.competingThreads.max,1703092834651000000,1703092894675000000,0
FilePageCache.maxCacheSizeInBytes,1703092834651000000,1703092894675000000,133390336
FilePageCache.pageLoads,1703092834651000000,1703092894675000000,148
DirectByteBufferAllocator.disposed,1703092834651000000,1703092894675000000,0
FilePageCache.totalPageDisposalsUs,1703092834651000000,1703092894675000000,864
StorageLockContext.competingThreads.90P,1703092834651000000,1703092894675000000,0
FilePageCache.disposedBuffers,1703092834651000000,1703092894675000000,3
FilePageCache.totalPageLoadsUs,1703092834651000000,1703092894675000000,1251888
FilePageCache.maxRegisteredFiles,1703092834651000000,1703092894675000000,254
FilePageCache.uncachedFileAccess,1703092834651000000,1703092894675000000,78
FilePageCache.pageHits,1703092834651000000,1703092894675000000,19
FilePageCache.pageFastCacheHits,1703092834651000000,1703092894675000000,42566
StreamlinedBlobStorage.recordsRelocated,1703092834651000000,1703092894675000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1703092834651000000,1703092894675000000,133390336
StreamlinedBlobStorage.recordsDeleted,1703092834651000000,1703092894675000000,1995
StreamlinedBlobStorage.recordsAllocated,1703092834651000000,1703092894675000000,48914
DirectByteBufferAllocator.misses,1703092834651000000,1703092894675000000,145
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1703092834651000000,1703092894675000000,3314099
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1703092834651000000,1703092894675000000,1586708
FilePageCache.capacityInBytes,1703092834651000000,1703092894675000000,524288000
StorageLockContext.competingThreads.avg,1703092834651000000,1703092894675000000,0.0
IndexesFlusher.totalFlushingTimeUs,1703092834651000000,1703092894675000000,352510
IndexesFlusher.totalFlushesRetried,1703092834651000000,1703092894675000000,0
Indexes.allKeys.lookupDurationAvgMs,1703092834651000000,1703092894675000000,0.0
VFSFlusher.totalFlushesRetried,1703092834651000000,1703092894675000000,0
Indexes.allKeys.lookups,1703092834651000000,1703092894675000000,0.0
Indexes.entries.lookupDuration90PMs,1703092834651000000,1703092894675000000,51.0
