# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookupDuration90PMs,1702917560779000000,1702917620796000000,0.0
Indexes.allKeys.lookups,1702917560779000000,1702917620796000000,0.0
VFSFlusher.totalContentionQuotaSpent,1702917560779000000,1702917620796000000,0
Indexes.allKeys.lookupDurationMaxMs,1702917560779000000,1702917620796000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1702917560779000000,1702917620796000000,3
Indexes.entries.lookupDurationMaxMs,1702917560779000000,1702917620796000000,250.0
IndexesFlusher.totalFlushes,1702917560779000000,1702917620796000000,54
Indexes.stubs.lookupDurationAvgMs,1702917560779000000,1702917620796000000,0.0
Indexes.entries.lookupDurationAvgMs,1702917560779000000,1702917620796000000,6.813559322033898
Indexes.entries.lookups,1702917560779000000,1702917620796000000,59.0
VFSFlusher.totalFlushingTimeUs,1702917560779000000,1702917620796000000,18204
IndexesFlusher.totalFlushingTimeUs,1702917560779000000,1702917620796000000,816601
VFSFlusher.totalFlushes,1702917560779000000,1702917620796000000,8
VFSFlusher.totalFlushesRetried,1702917560779000000,1702917620796000000,0
IndexesFlusher.totalFlushesRetried,1702917560779000000,1702917620796000000,0
Indexes.entries.lookupDuration90PMs,1702917560779000000,1702917620796000000,11.0
Indexes.allKeys.lookupDurationAvgMs,1702917560779000000,1702917620796000000,0.0
Indexes.allKeys.lookupDuration90PMs,1702917560779000000,1702917620796000000,0.0
Indexes.stubs.lookupDurationMaxMs,1702917560779000000,1702917620796000000,0.0
Indexes.stubs.lookups,1702917560779000000,1702917620796000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1702917560779000000,1702917620796000000,1936465
AWTEventQueue.dispatchTimeAvgNs,1702917560779000000,1702917620796000000,4658283.709090909
FlushQueue.queueSize90P,1702917560779000000,1702917620796000000,32
AWTEventQueue.dispatchTimeMaxNs,1702917560779000000,1702917620796000000,1476395007
FlushQueue.waitingTime90PNs,1702917560779000000,1702917620796000000,469762047
FlushQueue.waitingTimeMaxNs,1702917560779000000,1702917620796000000,1753219071
FlushQueue.waitingTimeAvgNs,1702917560779000000,1702917620796000000,1.5425719104297158E8
NonBlockingReadAction.failedExecutionsCount,1702917560779000000,1702917620796000000,0
FlushQueue.executionTime90PNs,1702917560779000000,1702917620796000000,2523135
NonBlockingReadAction.failedExecutionTimeUs,1702917560779000000,1702917620796000000,0
AWTEventQueue.eventsDispatched,1702917560779000000,1702917620796000000,5280
FlushQueue.tasksExecuted,1702917560779000000,1702917620796000000,2746
AWTEventQueue.dispatchTime90PNs,1702917560779000000,1702917620796000000,8388607
FlushQueue.queueSizeAvg,1702917560779000000,1702917620796000000,10.072833211944646
FlushQueue.queueSizeMax,1702917560779000000,1702917620796000000,91
FlushQueue.executionTimeAvgNs,1702917560779000000,1702917620796000000,3593933.321922797
NonBlockingReadAction.finalizedExecutionsCount,1702917560779000000,1702917620796000000,147
AWTEventQueue.dispatchTimeTotalNS,1702917560779000000,1702917620796000000,24604991439
FlushQueue.executionTimeMaxNs,1702917560779000000,1702917620796000000,1476395007
OS.loadAverage,1702917560779000000,1702917620796000000,2.775390625
JVM.maxNativeBytes,1702917560779000000,1702917620796000000,-1
JVM.usedHeapBytes,1702917560779000000,1702917620796000000,614465536
JVM.GC.collections,1702917560779000000,1702917620796000000,25
JVM.totalCpuTimeMs,1702917560779000000,1702917620796000000,142810
JVM.maxHeapBytes,1702917560779000000,1702917620796000000,2147483648
JVM.GC.collectionTimesMs,1702917560779000000,1702917620796000000,894
JVM.usedNativeBytes,1702917560779000000,1702917620796000000,311578984
JVM.threadCount,1702917560779000000,1702917620796000000,111
FileNameCache.totalMisses,1702917560779000000,1702917620796000000,4948
FileNameCache.queries,1702917560779000000,1702917620796000000,884459
FileNameCache.fastMisses,1702917560779000000,1702917620796000000,29790
workspaceModel.replace.project.model.ms,1702917560779000000,1702917620796000000,0
workspaceModel.loading.from.cache.ms,1702917560779000000,1702917620796000000,450
workspaceModel.to.snapshot.ms,1702917560779000000,1702917620796000000,2
workspaceModel.update.unloaded.entities.ms,1702917560779000000,1702917620796000000,0
workspaceModel.check.recursive.update.ms,1702917560779000000,1702917620796000000,2
workspaceModel.pre.handlers.ms,1702917560779000000,1702917620796000000,1
workspaceModel.loading.total.ms,1702917560779000000,1702917620796000000,492
workspaceModel.initializing.ms,1702917560779000000,1702917620796000000,3
workspaceModel.init.bridges.ms,1702917560779000000,1702917620796000000,3
workspaceModel.updates.ms,1702917560779000000,1702917620796000000,117
workspaceModel.updates.precise.ms,1702917560779000000,1702917620796000000,38
workspaceModel.updates.count,1702917560779000000,1702917620796000000,3
