# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.save.changed.project.entities.ms,1704816241846000000,1704816301878000000,4
jps.save.global.entities.ms,1704816241846000000,1704816301878000000,8
workspaceModel.mutableEntityStorage.entities.ms,1704816241846000000,1704816301878000000,1
workspaceModel.load.cache.from.file.ms,1704816241846000000,1704816301878000000,389
workspaceModel.moduleManagerBridge.create.module.instance.ms,1704816241846000000,1704816301878000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1704816241846000000,1704816301878000000,0
jps.apply.loaded.storage.ms,1704816241846000000,1704816301878000000,177
jps.facet.change.listener.process.change.events.ms,1704816241846000000,1704816301878000000,1
jps.app.storage.content.reader.load.component.ms,1704816241846000000,1704816301878000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1704816241846000000,1704816301878000000,44
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1704816241846000000,1704816301878000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1704816241846000000,1704816301878000000,2
workspaceModel.mutableEntityStorage.add.diff.ms,1704816241846000000,1704816301878000000,12
workspaceModel.moduleManagerBridge.build.module.graph.ms,1704816241846000000,1704816301878000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1704816241846000000,1704816301878000000,23
workspaceModel.mutableEntityStorage.put.entity.ms,1704816241846000000,1704816301878000000,36
workspaceModel.mutableEntityStorage.collect.changes.ms,1704816241846000000,1704816301878000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1704816241846000000,1704816301878000000,419
workspaceModel.moduleBridge.facet.initialization.ms,1704816241846000000,1704816301878000000,1
jps.load.initial.state.ms,1704816241846000000,1704816301878000000,9
workspaceModel.moduleBridge.before.changed.ms,1704816241846000000,1704816301878000000,0
jps.project.serializers.save.ms,1704816241846000000,1704816301878000000,4
workspaceModel.moduleBridgeLoader.loading.modules.ms,1704816241846000000,1704816301878000000,1778
workspaceModel.mutableEntityStorage.referrers.ms,1704816241846000000,1704816301878000000,0
jps.library.entities.serializer.load.entities.ms,1704816241846000000,1704816301878000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1704816241846000000,1704816301878000000,1
jps.load.project.to.empty.storage.ms,1704816241846000000,1704816301878000000,221
jps.library.entities.serializer.save.entities.ms,1704816241846000000,1704816301878000000,0
jps.global.get.library.by.name.ms,1704816241846000000,1704816301878000000,0
workspaceModel.global.apply.state.to.project.ms,1704816241846000000,1704816301878000000,59
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1704816241846000000,1704816301878000000,0
jps.artifact.entities.serializer.save.entities.ms,1704816241846000000,1704816301878000000,0
jps.global.get.library.ms,1704816241846000000,1704816301878000000,0
jps.global.initialize.library.bridges.after.loading.ms,1704816241846000000,1704816301878000000,0
workspaceModel.global.updates.count,1704816241846000000,1704816301878000000,0
jps.facet.change.listener.before.change.events.ms,1704816241846000000,1704816301878000000,0
workspaceModel.global.updates.ms,1704816241846000000,1704816301878000000,0
jps.artifact.entities.serializer.load.entities.ms,1704816241846000000,1704816301878000000,0
jps.global.get.libraries.ms,1704816241846000000,1704816301878000000,0
jps.storage.jps.conf.reader.load.component.ms,1704816241846000000,1704816301878000000,28
workspaceModel.moduleManagerBridge.load.all.modules.ms,1704816241846000000,1704816301878000000,76
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1704816241846000000,1704816301878000000,0
jps.global.handle.changed.events.ms,1704816241846000000,1704816301878000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1704816241846000000,1704816301878000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1704816241846000000,1704816301878000000,0
jps.project.serializers.load.ms,1704816241846000000,1704816301878000000,193
workspaceModel.mutableEntityStorage.add.entity.ms,1704816241846000000,1704816301878000000,143
workspaceModel.orphan.listener.update.ms,1704816241846000000,1704816301878000000,4
workspaceModel.mutableEntityStorage.entities.by.source.ms,1704816241846000000,1704816301878000000,0
workspaceModel.moduleBridge.update.option.ms,1704816241846000000,1704816301878000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1704816241846000000,1704816301878000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1704816241846000000,1704816301878000000,1
jps.module.iml.entities.serializer.save.entities.ms,1704816241846000000,1704816301878000000,0
workspaceModel.save.cache.to.file.ms,1704816241846000000,1704816301878000000,126
jps.facet.change.listener.init.bridge.ms,1704816241846000000,1704816301878000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1704816241846000000,1704816301878000000,0
jps.reload.project.entities.ms,1704816241846000000,1704816301878000000,0
jps.module.iml.entities.serializer.load.entities.ms,1704816241846000000,1704816301878000000,82
jps.global.handle.before.change.events.ms,1704816241846000000,1704816301878000000,0
workspaceModel.sync.entities.ms,1704816241846000000,1704816301878000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1704816241846000000,1704816301878000000,0
jps.app.storage.content.writer.save.component.ms,1704816241846000000,1704816301878000000,0
jps.global.initialize.library.bridges.ms,1704816241846000000,1704816301878000000,1
workspaceModel.updates.precise.ms,1704816241846000000,1704816301878000000,102
workspaceModel.update.unloaded.entities.ms,1704816241846000000,1704816301878000000,0
workspaceModel.to.snapshot.ms,1704816241846000000,1704816301878000000,2
workspaceModel.check.recursive.update.ms,1704816241846000000,1704816301878000000,1
workspaceModel.replace.project.model.ms,1704816241846000000,1704816301878000000,0
workspaceModel.collect.changes.ms,1704816241846000000,1704816301878000000,0
workspaceModel.loading.from.cache.ms,1704816241846000000,1704816301878000000,392
workspaceModel.updates.ms,1704816241846000000,1704816301878000000,173
workspaceModel.updates.count,1704816241846000000,1704816301878000000,3
workspaceModel.init.bridges.ms,1704816241846000000,1704816301878000000,3
workspaceModel.pre.handlers.ms,1704816241846000000,1704816301878000000,1
workspaceModel.initializing.ms,1704816241846000000,1704816301878000000,3
workspaceModel.loading.total.ms,1704816241846000000,1704816301878000000,429
StorageLockContext.competingThreads.avg,1704816241846000000,1704816301878000000,0.017543859649122806
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1704816241846000000,1704816301878000000,123838464
DirectByteBufferAllocator.hits,1704816241846000000,1704816301878000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1704816241846000000,1704816301878000000,0
StorageLockContext.competingThreads.90P,1704816241846000000,1704816301878000000,0
FilePageCache.pageLoads,1704816241846000000,1704816301878000000,125
FilePageCache.pageFastCacheHits,1704816241846000000,1704816301878000000,56862
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1704816241846000000,1704816301878000000,3975429
StreamlinedBlobStorage.recordsRelocated,1704816241846000000,1704816301878000000,0
FilePageCache.maxCacheSizeInBytes,1704816241846000000,1704816301878000000,123838464
FilePageCache.capacityInBytes,1704816241846000000,1704816301878000000,524288000
DirectByteBufferAllocator.disposed,1704816241846000000,1704816301878000000,0
FilePageCache.totalPageLoadsUs,1704816241846000000,1704816301878000000,2400066
DirectByteBufferAllocator.misses,1704816241846000000,1704816301878000000,122
FilePageCache.uncachedFileAccess,1704816241846000000,1704816301878000000,73
StreamlinedBlobStorage.recordsDeleted,1704816241846000000,1704816301878000000,2566
FilePageCache.pageHits,1704816241846000000,1704816301878000000,4
FilePageCache.maxRegisteredFiles,1704816241846000000,1704816301878000000,254
StorageLockContext.competingThreads.max,1704816241846000000,1704816301878000000,1
StreamlinedBlobStorage.recordsAllocated,1704816241846000000,1704816301878000000,58844
DirectByteBufferAllocator.reclaimed,1704816241846000000,1704816301878000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1704816241846000000,1704816301878000000,0
FilePageCache.totalPageDisposalsUs,1704816241846000000,1704816301878000000,871
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1704816241846000000,1704816301878000000,1839316
FilePageCache.disposedBuffers,1704816241846000000,1704816301878000000,3
FlushQueue.queueSizeAvg,1704816241846000000,1704816301878000000,14.565699208443272
NonBlockingReadAction.failedExecutionsCount,1704816241846000000,1704816301878000000,0
AWTEventQueue.dispatchTimeTotalNS,1704816241846000000,1704816301878000000,20017636399
NonBlockingReadAction.failedExecutionTimeUs,1704816241846000000,1704816301878000000,0
AWTEventQueue.dispatchTime90PNs,1704816241846000000,1704816301878000000,5570559
AWTEventQueue.eventsDispatched,1704816241846000000,1704816301878000000,4647
FlushQueue.queueSizeMax,1704816241846000000,1704816301878000000,92
FlushQueue.executionTimeMaxNs,1704816241846000000,1704816301878000000,1291845631
FlushQueue.waitingTime90PNs,1704816241846000000,1704816301878000000,889192447
FlushQueue.tasksExecuted,1704816241846000000,1704816301878000000,1895
FlushQueue.waitingTimeMaxNs,1704816241846000000,1704816301878000000,2701131775
NonBlockingReadAction.finalizedExecutionTimeUs,1704816241846000000,1704816301878000000,1790837
NonBlockingReadAction.finalizedExecutionsCount,1704816241846000000,1704816301878000000,39
FlushQueue.waitingTimeAvgNs,1704816241846000000,1704816301878000000,2.769155124601583E8
FlushQueue.executionTime90PNs,1704816241846000000,1704816301878000000,3424255
FlushQueue.queueSize90P,1704816241846000000,1704816301878000000,58
AWTEventQueue.dispatchTimeAvgNs,1704816241846000000,1704816301878000000,4308260.35205509
AWTEventQueue.dispatchTimeMaxNs,1704816241846000000,1704816301878000000,1300234239
FlushQueue.executionTimeAvgNs,1704816241846000000,1704816301878000000,4296262.14353562
JVM.totalCpuTimeMs,1704816241846000000,1704816301878000000,125640
JVM.GC.collectionTimesMs,1704816241846000000,1704816301878000000,830
JVM.usedHeapBytes,1704816241846000000,1704816301878000000,515711576
OS.loadAverage,1704816241846000000,1704816301878000000,3.37744140625
JVM.GC.collections,1704816241846000000,1704816301878000000,28
JVM.threadCount,1704816241846000000,1704816301878000000,112
JVM.usedNativeBytes,1704816241846000000,1704816301878000000,296279640
JVM.maxHeapBytes,1704816241846000000,1704816301878000000,2147483648
JVM.maxNativeBytes,1704816241846000000,1704816301878000000,-1
IndexesFlusher.totalFlushingTimeUs,1704816241846000000,1704816301878000000,433123
IndexesFlusher.totalFlushes,1704816241846000000,1704816301878000000,55
VFSFlusher.totalFlushesRetried,1704816241846000000,1704816301878000000,0
VFSFlusher.totalFlushes,1704816241846000000,1704816301878000000,6
VFSFlusher.totalFlushingTimeUs,1704816241846000000,1704816301878000000,20913
VFSFlusher.totalContentionQuotaSpent,1704816241846000000,1704816301878000000,0
IndexesFlusher.totalFlushesRetried,1704816241846000000,1704816301878000000,0
IndexesFlusher.totalContentionQuotaSpent,1704816241846000000,1704816301878000000,0
FileNameCache.totalMisses,1704816241846000000,1704816301878000000,4447
FileNameCache.fastMisses,1704816241846000000,1704816301878000000,25897
FileNameCache.queries,1704816241846000000,1704816301878000000,846399
jps.save.changed.project.entities.ms,1704816301878000000,1704816361876000000,4
jps.save.global.entities.ms,1704816301878000000,1704816361876000000,8
workspaceModel.mutableEntityStorage.entities.ms,1704816301878000000,1704816361876000000,1
workspaceModel.load.cache.from.file.ms,1704816301878000000,1704816361876000000,389
workspaceModel.moduleManagerBridge.create.module.instance.ms,1704816301878000000,1704816361876000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1704816301878000000,1704816361876000000,0
jps.apply.loaded.storage.ms,1704816301878000000,1704816361876000000,177
jps.facet.change.listener.process.change.events.ms,1704816301878000000,1704816361876000000,1
jps.app.storage.content.reader.load.component.ms,1704816301878000000,1704816361876000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1704816301878000000,1704816361876000000,44
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1704816301878000000,1704816361876000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1704816301878000000,1704816361876000000,2
workspaceModel.mutableEntityStorage.add.diff.ms,1704816301878000000,1704816361876000000,12
workspaceModel.moduleManagerBridge.build.module.graph.ms,1704816301878000000,1704816361876000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1704816301878000000,1704816361876000000,23
workspaceModel.mutableEntityStorage.put.entity.ms,1704816301878000000,1704816361876000000,36
workspaceModel.mutableEntityStorage.collect.changes.ms,1704816301878000000,1704816361876000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1704816301878000000,1704816361876000000,419
workspaceModel.moduleBridge.facet.initialization.ms,1704816301878000000,1704816361876000000,1
jps.load.initial.state.ms,1704816301878000000,1704816361876000000,9
workspaceModel.moduleBridge.before.changed.ms,1704816301878000000,1704816361876000000,0
jps.project.serializers.save.ms,1704816301878000000,1704816361876000000,4
workspaceModel.moduleBridgeLoader.loading.modules.ms,1704816301878000000,1704816361876000000,1778
workspaceModel.mutableEntityStorage.referrers.ms,1704816301878000000,1704816361876000000,0
jps.library.entities.serializer.load.entities.ms,1704816301878000000,1704816361876000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1704816301878000000,1704816361876000000,1
jps.load.project.to.empty.storage.ms,1704816301878000000,1704816361876000000,221
jps.library.entities.serializer.save.entities.ms,1704816301878000000,1704816361876000000,0
