# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.update.unloaded.entities.ms,1703007343231000000,1703007403277000000,0
workspaceModel.updates.ms,1703007343231000000,1703007403277000000,289
workspaceModel.updates.precise.ms,1703007343231000000,1703007403277000000,145
workspaceModel.init.bridges.ms,1703007343231000000,1703007403277000000,4
workspaceModel.collect.changes.ms,1703007343231000000,1703007403277000000,0
workspaceModel.pre.handlers.ms,1703007343231000000,1703007403277000000,1
workspaceModel.to.snapshot.ms,1703007343231000000,1703007403277000000,3
workspaceModel.loading.total.ms,1703007343231000000,1703007403277000000,1105
workspaceModel.updates.count,1703007343231000000,1703007403277000000,3
workspaceModel.replace.project.model.ms,1703007343231000000,1703007403277000000,0
workspaceModel.initializing.ms,1703007343231000000,1703007403277000000,4
workspaceModel.check.recursive.update.ms,1703007343231000000,1703007403277000000,0
workspaceModel.loading.from.cache.ms,1703007343231000000,1703007403277000000,1027
FlushQueue.waitingTime90PNs,1703007343231000000,1703007403277000000,1694498815
NonBlockingReadAction.failedExecutionTimeUs,1703007343231000000,1703007403277000000,0
FlushQueue.executionTime90PNs,1703007343231000000,1703007403277000000,6717439
AWTEventQueue.dispatchTime90PNs,1703007343231000000,1703007403277000000,34078719
FlushQueue.queueSizeAvg,1703007343231000000,1703007403277000000,15.711289327575571
FlushQueue.executionTimeMaxNs,1703007343231000000,1703007403277000000,2952790015
FlushQueue.waitingTimeAvgNs,1703007343231000000,1703007403277000000,3.9787962414312154E8
FlushQueue.queueSize90P,1703007343231000000,1703007403277000000,47
FlushQueue.tasksExecuted,1703007343231000000,1703007403277000000,1621
NonBlockingReadAction.failedExecutionsCount,1703007343231000000,1703007403277000000,0
AWTEventQueue.dispatchTimeAvgNs,1703007343231000000,1703007403277000000,2.0122946315627407E7
NonBlockingReadAction.finalizedExecutionsCount,1703007343231000000,1703007403277000000,45
AWTEventQueue.dispatchTimeMaxNs,1703007343231000000,1703007403277000000,2952790015
FlushQueue.waitingTimeMaxNs,1703007343231000000,1703007403277000000,3070230527
AWTEventQueue.dispatchTimeTotalNS,1703007343231000000,1703007403277000000,26137209848
AWTEventQueue.eventsDispatched,1703007343231000000,1703007403277000000,1299
NonBlockingReadAction.finalizedExecutionTimeUs,1703007343231000000,1703007403277000000,2410892
FlushQueue.queueSizeMax,1703007343231000000,1703007403277000000,78
FlushQueue.executionTimeAvgNs,1703007343231000000,1703007403277000000,8018251.454657619
FilePageCache.disposedBuffers,1703007343231000000,1703007403277000000,3
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1703007343231000000,1703007403277000000,3307307
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1703007343231000000,1703007403277000000,0
FilePageCache.pageFastCacheHits,1703007343231000000,1703007403277000000,52481
StorageLockContext.competingThreads.max,1703007343231000000,1703007403277000000,1
StorageLockContext.competingThreads.avg,1703007343231000000,1703007403277000000,0.008620689655172414
StreamlinedBlobStorage.recordsDeleted,1703007343231000000,1703007403277000000,1990
FilePageCache.uncachedFileAccess,1703007343231000000,1703007403277000000,76
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1703007343231000000,1703007403277000000,129196032
FilePageCache.maxRegisteredFiles,1703007343231000000,1703007403277000000,254
FilePageCache.totalPageDisposalsUs,1703007343231000000,1703007403277000000,755
DirectByteBufferAllocator.reclaimed,1703007343231000000,1703007403277000000,3
FilePageCache.pageHits,1703007343231000000,1703007403277000000,27
FilePageCache.pageLoads,1703007343231000000,1703007403277000000,144
StreamlinedBlobStorage.recordsAllocated,1703007343231000000,1703007403277000000,48813
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1703007343231000000,1703007403277000000,1583840
DirectByteBufferAllocator.hits,1703007343231000000,1703007403277000000,3
StorageLockContext.competingThreads.90P,1703007343231000000,1703007403277000000,0
StreamlinedBlobStorage.recordsRelocated,1703007343231000000,1703007403277000000,0
FilePageCache.maxCacheSizeInBytes,1703007343231000000,1703007403277000000,129196032
DirectByteBufferAllocator.disposed,1703007343231000000,1703007403277000000,0
FilePageCache.capacityInBytes,1703007343231000000,1703007403277000000,524288000
FilePageCache.totalPageLoadsUs,1703007343231000000,1703007403277000000,1614314
DirectByteBufferAllocator.misses,1703007343231000000,1703007403277000000,141
FilePageCache.pageLoadsAboveSizeThreshold,1703007343231000000,1703007403277000000,0
FileNameCache.queries,1703007343231000000,1703007403277000000,632970
FileNameCache.totalMisses,1703007343231000000,1703007403277000000,4949
FileNameCache.fastMisses,1703007343231000000,1703007403277000000,25307
jps.artifact.entities.serializer.save.entities.ms,1703007343231000000,1703007403277000000,0
jps.save.global.entities.ms,1703007343231000000,1703007403277000000,0
workspaceModel.global.updates.ms,1703007343231000000,1703007403277000000,0
jps.module.iml.entities.serializer.save.entities.ms,1703007343231000000,1703007403277000000,0
jps.load.project.to.empty.storage.ms,1703007343231000000,1703007403277000000,271
workspaceModel.mutableEntityStorage.to.snapshot.ms,1703007343231000000,1703007403277000000,5
jps.artifact.entities.serializer.load.entities.ms,1703007343231000000,1703007403277000000,0
workspaceModel.orphan.listener.update.ms,1703007343231000000,1703007403277000000,6
workspaceModel.load.cache.from.file.ms,1703007343231000000,1703007403277000000,1022
workspaceModel.moduleManagerBridge.create.module.instance.ms,1703007343231000000,1703007403277000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1703007343231000000,1703007403277000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1703007343231000000,1703007403277000000,0
jps.project.serializers.save.ms,1703007343231000000,1703007403277000000,0
jps.global.get.library.ms,1703007343231000000,1703007403277000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1703007343231000000,1703007403277000000,530
jps.reload.project.entities.ms,1703007343231000000,1703007403277000000,0
workspaceModel.moduleBridge.before.changed.ms,1703007343231000000,1703007403277000000,0
jps.load.initial.state.ms,1703007343231000000,1703007403277000000,27
jps.facet.change.listener.init.bridge.ms,1703007343231000000,1703007403277000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1703007343231000000,1703007403277000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1703007343231000000,1703007403277000000,0
jps.facet.change.listener.before.change.events.ms,1703007343231000000,1703007403277000000,1
jps.global.handle.changed.events.ms,1703007343231000000,1703007403277000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1703007343231000000,1703007403277000000,87
workspaceModel.moduleBridge.update.option.ms,1703007343231000000,1703007403277000000,0
jps.facet.change.listener.process.change.events.ms,1703007343231000000,1703007403277000000,2
jps.global.initialize.library.bridges.ms,1703007343231000000,1703007403277000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1703007343231000000,1703007403277000000,2931
workspaceModel.sync.entities.ms,1703007343231000000,1703007403277000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1703007343231000000,1703007403277000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1703007343231000000,1703007403277000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1703007343231000000,1703007403277000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1703007343231000000,1703007403277000000,0
workspaceModel.mutableEntityStorage.entities.ms,1703007343231000000,1703007403277000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1703007343231000000,1703007403277000000,0
jps.global.get.libraries.ms,1703007343231000000,1703007403277000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1703007343231000000,1703007403277000000,290
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1703007343231000000,1703007403277000000,0
jps.save.changed.project.entities.ms,1703007343231000000,1703007403277000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1703007343231000000,1703007403277000000,51
jps.storage.jps.conf.reader.load.component.ms,1703007343231000000,1703007403277000000,44
jps.apply.loaded.storage.ms,1703007343231000000,1703007403277000000,242
jps.library.entities.serializer.load.entities.ms,1703007343231000000,1703007403277000000,0
jps.global.get.library.by.name.ms,1703007343231000000,1703007403277000000,0
jps.app.storage.content.reader.load.component.ms,1703007343231000000,1703007403277000000,0
workspaceModel.global.updates.count,1703007343231000000,1703007403277000000,0
jps.module.iml.entities.serializer.load.entities.ms,1703007343231000000,1703007403277000000,121
workspaceModel.mutableEntityStorage.add.entity.ms,1703007343231000000,1703007403277000000,108
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1703007343231000000,1703007403277000000,0
workspaceModel.global.apply.state.to.project.ms,1703007343231000000,1703007403277000000,93
workspaceModel.mutableEntityStorage.modify.entity.ms,1703007343231000000,1703007403277000000,63
workspaceModel.mutableEntityStorage.entities.by.source.ms,1703007343231000000,1703007403277000000,3
jps.library.entities.serializer.save.entities.ms,1703007343231000000,1703007403277000000,0
