# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoads,1703697700860000000,1703697760885000000,157
FilePageCache.pageFastCacheHits,1703697700860000000,1703697760885000000,70659
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1703697700860000000,1703697760885000000,1665750
DirectByteBufferAllocator.hits,1703697700860000000,1703697760885000000,3
FilePageCache.totalPageDisposalsUs,1703697700860000000,1703697760885000000,909
FilePageCache.uncachedFileAccess,1703697700860000000,1703697760885000000,80
StorageLockContext.competingThreads.90P,1703697700860000000,1703697760885000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1703697700860000000,1703697760885000000,0
FilePageCache.pageHits,1703697700860000000,1703697760885000000,45
DirectByteBufferAllocator.reclaimed,1703697700860000000,1703697760885000000,3
StreamlinedBlobStorage.recordsDeleted,1703697700860000000,1703697760885000000,2409
FilePageCache.capacityInBytes,1703697700860000000,1703697760885000000,524288000
StreamlinedBlobStorage.recordsRelocated,1703697700860000000,1703697760885000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1703697700860000000,1703697760885000000,0
StorageLockContext.competingThreads.avg,1703697700860000000,1703697760885000000,0.017391304347826087
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1703697700860000000,1703697760885000000,136585216
StreamlinedBlobStorage.recordsAllocated,1703697700860000000,1703697760885000000,51261
DirectByteBufferAllocator.misses,1703697700860000000,1703697760885000000,154
FilePageCache.disposedBuffers,1703697700860000000,1703697760885000000,3
StorageLockContext.competingThreads.max,1703697700860000000,1703697760885000000,1
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1703697700860000000,1703697760885000000,3453393
FilePageCache.maxCacheSizeInBytes,1703697700860000000,1703697760885000000,136585216
FilePageCache.maxRegisteredFiles,1703697700860000000,1703697760885000000,254
FilePageCache.totalPageLoadsUs,1703697700860000000,1703697760885000000,1535409
DirectByteBufferAllocator.disposed,1703697700860000000,1703697760885000000,0
FlushQueue.executionTime90PNs,1703697700860000000,1703697760885000000,2818047
FlushQueue.executionTimeAvgNs,1703697700860000000,1703697760885000000,3835244.242625675
FlushQueue.tasksExecuted,1703697700860000000,1703697760885000000,2407
NonBlockingReadAction.finalizedExecutionTimeUs,1703697700860000000,1703697760885000000,2215022
FlushQueue.waitingTimeMaxNs,1703697700860000000,1703697760885000000,2315255807
FlushQueue.queueSizeAvg,1703697700860000000,1703697760885000000,13.501454092230993
NonBlockingReadAction.failedExecutionsCount,1703697700860000000,1703697760885000000,3
NonBlockingReadAction.finalizedExecutionsCount,1703697700860000000,1703697760885000000,62
AWTEventQueue.eventsDispatched,1703697700860000000,1703697760885000000,2843
NonBlockingReadAction.failedExecutionTimeUs,1703697700860000000,1703697760885000000,300861
AWTEventQueue.dispatchTimeMaxNs,1703697700860000000,1703697760885000000,1862270975
FlushQueue.waitingTime90PNs,1703697700860000000,1703697760885000000,624951295
FlushQueue.waitingTimeAvgNs,1703697700860000000,1703697760885000000,1.810190331998338E8
AWTEventQueue.dispatchTime90PNs,1703697700860000000,1703697760885000000,11665407
FlushQueue.queueSizeMax,1703697700860000000,1703697760885000000,80
AWTEventQueue.dispatchTimeTotalNS,1703697700860000000,1703697760885000000,20336271456
FlushQueue.queueSize90P,1703697700860000000,1703697760885000000,40
